name,ingredients,method,glass_type,ice,garnish,seasonal_associations,strength,flavor_profile
,,Mezcal,1.50,,,,,Winter,,
,,,,,,,,,,
13,BeatIt,Rye Whiskey,0.75,Stir,Nick & Nora,-,Orange peel,Winter,Strong,Dry Sweet
,,Veda,1,,,,,,,
,,Tawny Port,0.75,,,,,,,
,,,,,,,,,,
14,Affinity,Scotch,1.00,Stir,Coupe,-,Lemon Peel,Winter,Strong,Dry Sweet
,,Veda,1.00,,,,,Autumn,,
,,Sweet Vermouth,0.5,,,,,,,
,,Dry Vermouth,0.5,,,,,,,
,,Angostura bitters,1 Dash,,,,,,,
,,,,,,,,,,
15,Manhattan Transfer,Rye Whiskey,1.50,Stir,Coupe,-,Maraschino cherry,Winter,Strong,Dry Sweet
,,Veda,1.00,,,,,Autumn,,
,,Dry Vermouth,1.00,,,,,,,
,,Orange Bitters,1 Dash,,,,,,,
,,,,,,,,,,
16,Yamabuki,Japanese Whiskey,1.50,Stir,Nick & Nora,-,Lemon peel,Autumn,Strong,Dry Sweet
,,Bianco Vermouth,0.75,,,,,Spring,,
,,Veda,0.5,,,,,,,
,,Orange bitters,1dash,,,,,,,
,,,,,,,,,,
17,Avion,Tequila blanco,0.75,Shake and fine strain,Nick & Nora,-,Lemon Peel,Summer,Strong,Sweet & Sour
,,Veda,0.75,,,,,Spring,,
,,Aperol,0.75,,,,,,,
,,Lemon juice,0.75,,,,,,,
,,,,,,,,,,
18,Hunter's Verdict,Aged rum,2.00,Stir,Double Old Fashioned,-,Orange wedge,Autumn,Strong,Dry Sweet
,,Veda,0.75,,,,,Spring,,Herbal
,,Ginger Liqueur,0.25,,,,,Winter,,Spicy
,,Orange bitters,1dash,,,,,,,
,,Angostura bitters,1dash,,,,,,,
,,,,,,,,,,
19,Devil's Roots,Straight Whiskey,1.00,Stir,Nick & Nora,-,Orange Zest,Autumn,Strong,Bitter Sweet
,,Mezcal,0.33,,,,,Spring,,Floral
,,Veda,0.33,,,,,,,Smokey
,,Campari,0.17,,,,,,,
,,Elderflower Liqueur,0.17,,,,,,,
,,,,,,,,,,
20,"Me, Myself & I",Mezcal,1.00,Stir,Double Old Fashioned,Ice Block,Orange Peel,Autumn,Strong,Bitter Sweet
,,Veda,1.00,,,,,Winter,,
,,Italicus,1.00,,,,,Spring,,
,,,,,,,,,,
21,Smoke & Mirrors,Peated Whiskey,1.50,Stir,Coupe,-,Orange Coin,Spring,Strong,Sweet
,,Veda,1.00,,,,,Autumn,,
,,Apricot liqueur,0.5,,,,,,,
,,Angostura bitters,2dashes,,,,,,,
,,,,,,,,,,
22,Withces Flight,Bourbon,0.75,Shake and Fine strain,Coupe,-,Sugarred Rim,Spring,Strong,Sweet & Sour
,,Veda,0.75,,,,,Summer,,Herbal
,,Strega,0.75,,,,,Autumn,,
,,Lemon Juice,0.75,,,,,,,
,,,,,,,,,,
23,Midnight Mush,Mezcal,1.00,Stir,Coupe,-,-,Winter,Strong,Dry Sweet
,,Veda,1/5,,,,,Autumn,,
,,Bonal,1.00,,,,,,,
,,Cynar,1/5,,,,,,,
,,Xocolatl Bitters,2 Dashes,,,,,,,
,,,,,,,,,,
24,Sidecap,Cognac,1.52,Shake and Fine Strain,Coupe,-,Suggared Rim,Autumn,Medium Strong,Sweet & Sour
,,Veda,1.00,,,,,Winter,,
,,Lemon Juice,0.5,,,,,Spring,,
,,,,,,,,,,
25,Veda Mary,Vodka,1.00,Shake and fine strain,Highball,Cubed,Celery root,Spring,Medium,Sweet & Sour
,,Veda,0.5,,,,pickled mushrooms,Summer,,Savory
,,Tomato pasata,3.00,,,,,Winter,,Spicy
,,Salt,pinch,,,,,Autumn,,
,,Pepper,pinch,,,,,,,
,,Worcestershire Sauce,1dash,,,,,,,
,,Tobasco,2dashes,,,,,,,
,,,,,,,,,,
26,Mushroom Garibaldi,Veda,1.50,Blend without ice until fluffy,Highball,-,Pink Grapefruit wedge,Summer,Light,Dry Sweet
,,Blood Orange juice,2.00,,,,,Spring,,Citrus
,,Pink Grapefruit juice,1.75,,,,,Autumn,,
,,,,,,,,,,
27,Tropical Mushroom,Cachaca,1.50,Churn,Highball,Crushed,Grated Cinnamon,Spring,Medium,Sweet & Sour
,,Veda,1.00,,,,,Summer,,Fruity
,,Giffard Banana do brazil,0.75,,,,,,,
,,Lime juice,0.75,,,,,,,
,,,,,,,,,,
28,Beelzebub,Bourbon,1.50,Shake and fine strain,Nick n Nora,- ,-,Spring,Medium Strong,Dry Sweet
,,Mezcal,0.5,,,,,Summer,,Nutty
,,Veda,0.5,,,,,Autumn,,Smokey
,,Orgeat,0.5,,,,,,,
,,Lemon juice,0.75,,,,,,,
,,,,,,,,,,
29,Swizzle Suspect,,,,Highball,Crushed,Mint peak,Spring,Light Medium,Dry Sweet
,,Suze,1.33,"Add suze, peach liqueur, and mind leaves",,,,Autumn,,Herbal
,,Veda,0.33,Churn with crushed ice.,,,,Summer,,
,,Peach liqueur,0.33,Fill up with crushed ice,,,,,,
,,Mint leaves,8.00,Float with Veda,,,,,,
,,Seedless green grapes,6.00,Squeeze the grapes to release the juice,,,,,,
,,,,,,,,,,
30,The Malagueña,Blackstrap Rum,1.50,Stir,Coupe,-,Orange twist,Autumn,Strong,Sweet
,,Veda,1.00,,,,,Winter,,
,,Agave,0.25,,,,,,,
,,Angostura btiters,3dashes,,,,,,,
,,Orange bitters,1dash,,,,,,,
,,,,,,,,,,
31,Mushroom Paloma,Tequila,0.5,Build,Highball,Cubed,Pink Grapefruit Wedge,Spring,Medium Strong,Sweet & Sour
,,Mezcal,0.5,,,,,Summer,,Effervescent
,,Veda,0.5,,,,,,,
,,Lime,0.25,,,,,,,
,,Pink Grapefruit Soda,Top up,,,,,,,
,,,,,,,,,,
32,Drunken Pirate,Overproof aged rum,1.50,Shake and strain,Double old fashioned,Cubed,Mint peak and Orange Wedge,Summer,Strong,Sweet & Sour
,,Veda,0.5,,,,,Spring,,
,,falernum liqueur,0.5,,,,,Autumn,,
,,Lime juice,1.00,,,,,,,
,,Maple syrup,0.5,,,,,,,
,,,,,,,,,,
33,Veda Martinez,Gin,1.75,Stir,Nick & Nora,-,Orange Peel,Winter,Strong,Dry Sweet
,,Antica Formula,0.5,,,,,Autumn,,
,,Veda,0.5,,,,,,,
,,Luxardo Maraschino,0.25,,,,,,,
,,Angostura cocoa bitters,2dashes,,,,,,,
,,,,,,,,,,
34,Pinched Notes,Veda,1.00,Stir,Double old fashioned,Block,Candied ginger,Winter,Strong,Dry Sweet
,,Amontillado Sherry,1.00,,,,,Autumn,,
,,Gin,0.5,,,,,,,
,,Chili liqueur,0.25,,,,,,,
,,Chocolate bitters,1dash,,,,,,,
,,,,,,,,,,
35,Vedrano,Agricole Rhum,1.00,Churn,Double old fashioned,Crashed,Mint peak,Summer,Medium,Sweet & Sour
,,Veda,0.75,,,,,Spring,,Fruity
,,Pineapple Rum,0.25,,,,,Autumn,,Tropical
,,Pineapple syrup,0.17,,,,,,,
,,Lime juice,0.17,,,,,,,
,,Angostura bitters,1dash,,,,,,,
,,,,,,,,,,
36,Highlander,Scotch,1.50,Stir,Nick & Nora,- ,Orange peel,Winter,Strong,
,,Veda,0.5,,,,,Autumn,,
,,Sweet Vermouth,0.75,,,,,,,
,,Angostura bitters,1dash,,,,,,,
,,,,,,,,,,
37,Served,Veda,1.00,Shake and fine strain,Collins,Cubed,Orange Wedge,Spring,Light,Dry Sweet
,,Fino Sherry,1.00,Top-up with soda,,,,Summer,,Effervescent
,,Lime juice,1.00,,,,,Autumn,,
,,2:1 Sugar Syrup,0.5,,,,,,,
,,Soda,2.00,,,,,,,
,,,,,,,,,,
